TOTAL ROUTES: 351

VERB	PATH	SCREEN	GUARDS	FILE
POST	/api/crm-settings/email-settings	settings:edit	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
PUT	/api/crm-settings/email-settings	settings:edit	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/integrations	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/options	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/profile	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
PUT	/api/crm-settings/profile	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/referral-codes	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/triggers	triggers:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
PUT	/api/crm-settings/triggers	triggers:edit	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/customers	invoice:view	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
POST	/api/customers	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
DELETE	/api/customers/:customer	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
PUT	/api/customers/:customer	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
GET	/api/dashboard/commissions	dashboard:view	AuthGuard+ScreenGuard	dashboard/dashboard.controller.ts
GET	/api/dashboard/crm	dashboard:view	AuthGuard+ScreenGuard	dashboard/dashboard.controller.ts
GET	/api/dashboard/desk	dashboard:view	AuthGuard+ScreenGuard	dashboard/dashboard.controller.ts
GET	/api/dashboard/review-errors	dashboard:view	AuthGuard+ScreenGuard	dashboard/dashboard.controller.ts
GET	/api/dashboard/reviews	dashboard:view	AuthGuard+ScreenGuard	dashboard/dashboard.controller.ts
POST	/api/delete-requests/:deleteRequest/approve	-	AuthGuard	workflows/delete-requests.controller.ts
POST	/api/delete-requests/:deleteRequest/forward	-	AuthGuard	workflows/delete-requests.controller.ts
POST	/api/delete-requests/:deleteRequest/reject	-	AuthGuard	workflows/delete-requests.controller.ts
GET	/api/doc-notifications	-	AuthGuard	notifications/notifications.controller.ts
DELETE	/api/documents/:document	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
GET	/api/documents/:document/file	-	AuthGuard	documents/documents.controller.ts
GET	/api/documents/:document/files/:index	-	AuthGuard	documents/documents.controller.ts
POST	/api/documents/:document/restore	transactions:edit	AuthGuard+ScreenGuard	documents/documents.controller.ts
GET	/api/documents/:document/validation-file	-	AuthGuard	documents/documents.controller.ts
POST	/api/edit-requests/:editRequest/approve	-	AuthGuard+AdminGuard	workflows/edit-requests.controller.ts
POST	/api/edit-requests/:editRequest/reject	-	AuthGuard+AdminGuard	workflows/edit-requests.controller.ts
GET	/api/email-templates	-	AuthGuard+AdminGuard	email/email.controller.ts
PUT	/api/email-templates/:emailTemplate	-	AuthGuard+AdminGuard	email/email.controller.ts
POST	/api/email-templates/:emailTemplate/attachments	-	AuthGuard+AdminGuard	email/email.controller.ts
DELETE	/api/email-templates/:emailTemplate/attachments/:attachmentId	-	AuthGuard+AdminGuard	email/email.controller.ts
GET	/api/email-templates/:emailTemplate/attachments/:attachmentId	-	AuthGuard+AdminGuard	email/email.controller.ts
POST	/api/email-templates/:emailTemplate/preview	-	AuthGuard+AdminGuard	email/email.controller.ts
GET	/api/export-centre	-	AuthGuard+ScreenGuard	reports/export-centre.controller.ts
DELETE	/api/export-centre/:exportId	-	AuthGuard+ScreenGuard	reports/export-centre.controller.ts
GET	/api/export-centre/download/:token	-	AuthGuard+ScreenGuard	reports/export-centre.controller.ts
GET	/api/export-centre/job/:exportId	-	AuthGuard+ScreenGuard	reports/export-centre.controller.ts
POST	/api/export-centre/queue/:action	-	AuthGuard+ScreenGuard	reports/export-centre.controller.ts
POST	/api/export-centre/sweep	-	AuthGuard+ScreenGuard	reports/export-centre.controller.ts
GET	/api/favorites	favorites:view	AuthGuard+ScreenGuard	favorites/favorites.controller.ts
DELETE	/api/favorites/:listingKey	favorites:view	AuthGuard+ScreenGuard	favorites/favorites.controller.ts
GET	/api/favorites/keys	favorites:view	AuthGuard+ScreenGuard	favorites/favorites.controller.ts
POST	/api/favorites/toggle	favorites:view	AuthGuard+ScreenGuard	favorites/favorites.controller.ts
GET	/api/google/calendar/connect	-	AuthGuard	google/google.controller.ts
POST	/api/google/calendar/disconnect	-	AuthGuard	google/google.controller.ts
POST	/api/google/calendar/retry	-	AuthGuard	google/google.controller.ts
GET	/api/google/calendar/status	-	AuthGuard	google/google.controller.ts
POST	/api/google/calendar/sync	-	AuthGuard	google/google.controller.ts
GET	/api/google/callback	-	-	google/google-public.controller.ts
GET	/api/google/mail/connect	-	AuthGuard	google/google-mail.controller.ts
GET	/api/health	-	-	observability/health.controller.ts
GET	/api/health/metrics	-	-	observability/health.controller.ts
GET	/api/health/ready	-	-	observability/health.controller.ts
GET	/api/health/workers	-	-	observability/health.controller.ts
GET	/api/invoices	invoice:view	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
POST	/api/invoices	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
DELETE	/api/invoices/:invoice	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
GET	/api/invoices/:invoice	invoice:view	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
PUT	/api/invoices/:invoice	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
POST	/api/invoices/:invoice/payments	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
DELETE	/api/invoices/:invoice/payments/:payment	invoice:edit	AuthGuard+ScreenGuard	invoices/invoices.controller.ts
